Keyword,Category
LEXUS OF PLEASANTON,Auto
STEVENS CREEK AUTO,Auto
TOYOTA SUNNYVALE,Auto
LEMOS FAMILY FARM,Entertainment
RECREATION.GOV,Entertainment
YOUTUBE VIDEOS,Entertainment
EXPEDIA,Hotels
ACTIONDAY,Kieran
SANTA CLARA 969,Kieran
GLOBALEN,Lusi
STANFORD CHILDREN’S,Medical
APPFOLIO,Moving
ATLAS,Moving
DOORSTEAD,Moving
RENTAPPLICATION,Moving
U-HAUL,Moving
USPS,Moving
ZIPRENT,Moving
MEDVET,Pets
PETCO,Pets
PETSMART,Pets
WAG HOTELS,Pets
AMAZON,Shopping
AMZN MKTP,Shopping
APPLE.COM,Shopping
BASS PRO STORE,Shopping
C. SIMUM CO,Shopping
CARCOVERS.COM,Shopping
CISCO STORE,Shopping
CVS,Shopping
DICKS SPORTING GOODS,Shopping
HOME DEPOT,Shopping
LEETCODE.COM,Shopping
NAPA,Shopping
OKDO,Shopping
RITE AID,Shopping
TARGET,Shopping
TRACTOR SUPPLY,Shopping
WAL-MART,Shopping
GODADDY,Utilities
GOOGLE FI,Utilities
GSUITE_SMILE,Utilities
